Date,Tension_Level,Stability_Index,Major_Events
2026-09-19,72,45,
2026-09-20,73,46,
2026-09-21,74,47,
2026-09-22,75,48,
2026-09-23,76,49,
2026-09-24,77,50,
2026-09-25,78,45,
2026-09-26,79,46,
2026-09-27,72,47,
2026-09-28,73,48,
2026-09-29,74,49,
2026-09-30,75,50,
2026-10-01,76,45,
2026-10-02,77,46,
2026-10-03,78,47,
2026-10-04,79,48,
2026-10-05,72,49,
2026-10-06,73,50,
2026-10-07,74,45,
2026-10-08,75,46,
2026-10-09,76,47,
2026-10-10,77,48,
2026-10-11,78,49,
2026-10-12,79,50,
2026-10-13,72,45,
2026-10-14,73,46,
2026-10-15,74,47,
2026-10-16,75,48,
2026-10-17,76,49,
2026-10-18,77,50,
