Date,Global_Trade_Index,Tariff_Tension,Exchange_Rate_USD_CNY,Oil_Price_USD
2026-09-19,98,45,7.0,85
2026-09-20,99,46,7.01,86
2026-09-21,100,47,7.02,87
2026-09-22,101,48,7.03,88
2026-09-23,102,49,7.04,89
2026-09-24,98,50,7.05,85
2026-09-25,99,51,7.06,86
2026-09-26,100,52,7.07,87
2026-09-27,101,53,7.08,88
2026-09-28,102,54,7.09,89
2026-09-29,98,45,7.1,85
2026-09-30,99,46,7.11,86
2026-10-01,100,47,7.12,87
2026-10-02,101,48,7.13,88
2026-10-03,102,49,7.14,89
2026-10-04,98,50,7.15,85
2026-10-05,99,51,7.16,86
2026-10-06,100,52,7.17,87
2026-10-07,101,53,7.18,88
2026-10-08,102,54,7.19,89
2026-10-09,98,45,7.2,85
2026-10-10,99,46,7.21,86
2026-10-11,100,47,7.22,87
2026-10-12,101,48,7.23,88
2026-10-13,102,49,7.24,89
2026-10-14,98,50,7.25,85
2026-10-15,99,51,7.26,86
2026-10-16,100,52,7.27,87
2026-10-17,101,53,7.28,88
2026-10-18,102,54,7.29,89
