Date,USA_Influence_Index,NATO_Strength,EU_Stability,Notes
2026-09-19,70,85,75,
2026-09-20,71,86,76,
2026-09-21,72,87,77,
2026-09-22,73,85,78,
2026-09-23,74,86,75,
2026-09-24,70,87,76,
2026-09-25,71,85,77,
2026-09-26,72,86,78,
2026-09-27,73,87,75,
2026-09-28,74,85,76,
2026-09-29,70,86,77,
2026-09-30,71,87,78,
2026-10-01,72,85,75,
2026-10-02,73,86,76,
2026-10-03,74,87,77,
2026-10-04,70,85,78,
2026-10-05,71,86,75,
2026-10-06,72,87,76,
2026-10-07,73,85,77,
2026-10-08,74,86,78,
2026-10-09,70,87,75,
2026-10-10,71,85,76,
2026-10-11,72,86,77,
2026-10-12,73,87,78,
2026-10-13,74,85,75,
2026-10-14,70,86,76,
2026-10-15,71,87,77,
2026-10-16,72,85,78,
2026-10-17,73,86,75,
2026-10-18,74,87,76,
