Date,Title,Source,URL
2026-09-12,BRICS leaders meet in India as wars and US tensions test the bloc,NPR,https://www.npr.org/2026/09/12/g-s1-143054/brics-leaders-meet-in-india
2026-09-12,Saudi Arabia shuts key oil pipeline after drone attack launched from Iraq,BBC News,https://www.bbc.co.uk/news/articles/c62m933465eo
2026-09-15,"The US fired over $22 billion in munitions fighting Iran and created stockpile shortages in the process, watchdog finds",Business Insider,https://www.businessinsider.com/us-fired-billions-in-weapons-fighting-iran-drained-stockpiles-report-2026-9#article
2026-09-16,How escalating Saudi oil crisis could drive up prices everywhere,BBC News,https://www.bbc.co.uk/news/articles/cqlym3wye1ero
2026-09-17,Photos show extensive damage to US Middle East bases,Abcnews.com,https://abcnews.com/Politics/photos-show-extensive-damage-us-middle-east-bases/story?id=136507770
2026-09-16,Saudis pound Yemen as Houthis solidify gains in new theatre of Middle East war,Yahoo Entertainment,https://www.yahoo.com/news/world/articles/saudi-coalition-says-houthi-drone-020759156.html
2026-09-17,'Scoff at your own risk:’ Viral investment research firm says AI robots are a coming mega-trend,Business Insider,https://www.businessinsider.com/citrini-research-ai-robots-mega-trend-tesla-xpeng-tsla-xpev-2026-9#article
2026-09-14,Donald Trump Jr and Bettina Trump say Putin ally paid for some wedding festivities as a 'gift',BBC News,https://www.bbc.co.uk/news/articles/cmqjkg121kr9o
2026-09-14,China’s state security minister names two US AI models as a cyber threat,The Next Web,https://thenextweb.com/news/china-state-security-minister-claude-mythos-gpt-5-5-cyber
2026-09-12,"BRICS adopts joint declaration, urges 'maximum restraint' in Mideast",Yahoo Entertainment,https://www.yahoo.com/news/world/articles/brics-adopts-joint-declaration-urges-121331431.html
2026-09-14,China’s intelligence chief just gave a revealing glimpse into what Beijing fears most about AI,Business Insider,https://www.businessinsider.com/china-spy-chief-beijing-ai-regulation-biggest-risks-2026-9#article
2026-09-13,Carney gambles on the world's biggest investors betting on Canada,BBC News,https://www.bbc.com/news/articles/c0m3neyyzm7o?xtor=AL-72-%5Bpartner%5D-%5Byahoo.north.america%5D-%5Bheadline%5D-%5Bnews%5D-%5Bbizdev%5D-%5Bisapi%5D
2026-09-12,Saudi Arabia has few options as it faces mounting threats from Iran and its allies,Yahoo Entertainment,https://www.yahoo.com/news/world/articles/saudi-arabia-few-options-faces-051346491.html
2026-09-15,Saudi Arabia reports wide-ranging security alerts after week of strikes,Yahoo Entertainment,https://www.yahoo.com/news/articles/houthis-strike-saudi-targets-anew-000517148.html
2026-09-14,"Iran live updates: Oil prices rise after strikes in Saudi Arabia, Strait of Hormuz",Abcnews.com,https://abcnews.com/International/live-updates/iran-live-updates-oil-prices-rise-after-strikes/?id=136415261
2026-09-13,Can a warming Arctic become an important commercial highway?,Al Jazeera English,https://www.aljazeera.com/video/inside-story/2026/9/13/can-a-warming-arctic-become-an-important-commercial-highway
2026-09-15,"Europe must build its own AI or risk being cut off, says ECB’s Lagarde",The Next Web,https://thenextweb.com/news/lagarde-ecb-europe-sovereign-ai-cut-off-risk-data-centres
2026-09-14,China’s intelligence chief just gave a revealing glimpse into what Beijing fears most about AI,Business Insider,https://www.businessinsider.com/china-spy-chief-beijing-ai-regulation-biggest-risks-2026-9
2026-09-13,Analysis-Houthis' Yemen advance leaves Gulf states with uncomfortable choice,Yahoo Entertainment,https://www.yahoo.com/news/articles/analysis-houthis-yemen-advance-leaves-165716635.html
2026-09-15,"Iran war costs $38 billion as CBO warns of higher inflation, depleted weapons",Abcnews.com,https://abcnews.com/Politics/iran-war-costs-38-billion-cbo-warns-higher/story?id=136465149
