"article_id","language","issue_ids","continent","source_type","outlet_bias","title","llm_label","llm_evidence_quote","human_label","correction_note","reviewed_at","link","review_batch_id","review_scope","alert_level","review_status","evidence_url_verified","evidence_quote_supported","source_quality","source_diversity_count","interpretation_assessment","reviewer_id","reviewer_decision","error_type","error_detail","follow_up_date"
"82dbf4fb","en","['Trump_Economy']","북미","news","center","AI regulation faces political deadlock as calls grow for US Congress to act","","","","","","https://www.bbc.co.uk/news/articles/ck20989806e9o?at_medium=RSS&at_campaign=rss","","","","","","","","","","","","","",""
"4bf7c66f","en","['Trump_Economy', 'Venezuela_Crisis']","","expert_analysis","","Can negotiations between Venezuela’s government and opposition succeed?","","","","","","https://www.chathamhouse.org/2026/08/can-negotiations-between-venezuelas-government-and-opposition-succeed","","","","","","","","","","","","","",""
"9867b6ba","en","['Trump_Economy']","북미","expert_analysis","","Trump administration plans $2.8B arms sale to Israel, including 2,000-lb bombs","","","","","","https://www.al-monitor.com/originals/2026/09/trump-administration-plans-28b-arms-sale-israel-including-2000-lb-bombs","","","","","","","","","","","","","",""
"76a17221","en","['Trump_Economy']","북미","local_media","","Kremlin Says No Decision Yet on Putin's G20 Visit, Dismisses Zelensky's Meeting Proposal","","","","","","https://www.themoscowtimes.com/2026/09/12/kremlin-says-no-decision-yet-on-putins-g20-visit-dismisses-zelenskys-meeting-proposal-a93693","","","","","","","","","","","","","",""
"c12c4181","en","['Trump_Economy', 'Israel_Palestine']","","expert_analysis","","By agreeing to disarm, Hamas is trying to call Israel’s bluff in Gaza","","","","","","https://www.chathamhouse.org/2026/08/agreeing-disarm-hamas-trying-call-israels-bluff-gaza","","","","","","","","","","","","","",""
"55e4a712","en","['Trump_Economy', 'Ukraine_War', 'EU_Russia']","","expert_analysis","","Will Ukraine’s Wildberries attacks force Putin to the negotiating table?","","","","","","https://www.chathamhouse.org/2026/07/will-ukraines-wildberries-attacks-force-putin-negotiating-table","","","","","","","","","","","","","",""
"44c62362","en","['Trump_Economy', 'Ukraine_War', 'EU_Russia', 'North_Korea_Nuclear', 'Taiwan_Strait']","","expert_analysis","","North Korea’s ‘Victory Day’ takes place with Kim Jong Un’s power transformed","","","","","","https://www.chathamhouse.org/2026/07/north-koreas-victory-day-takes-place-kim-jong-uns-power-transformed","","","","","","","","","","","","","",""
"a5d56341","en","['Trump_Economy']","북미","news","center","Trump says AI safety fears a 'hoax' as he rejects calls for greater safeguards","","","","","","https://www.bbc.co.uk/news/articles/cw980n0nd0qjo?at_medium=RSS&at_campaign=rss","","","","","","","","","","","","","",""
"2778b3fa","en","['Baltic_Security']","유럽","news","center","NATO jets shoot down a drone in Lithuanian airspace","","","","","","https://www.npr.org/2026/09/15/g-s1-143284/nato-jets-down-drone-in-lithuanian-airspace","","","","","","","","","","","","","",""
"7e7ef48c","en","['Israel_Palestine']","중동","news","center","Israel is 'dismantling Palestinian life' says Israeli human rights group","","","","","","https://www.npr.org/2026/09/14/nx-s1-5964897/israel-is-systematically-dismantling-palestinian-life-says-human-rights-group","","","","","","","","","","","","","",""
