article_id,language,issue_ids,continent,countries_involved,tag_status,llm_review_needed,source_type,source_url,outlet_bias,title,link,llm_label,llm_evidence_quote,human_label,correction_note,reviewed_at,collected_at
29f51497,en,[],,[],unclassified,FALSE,news,feeds.npr.org,center,'People are still afraid of those three letters': Fighting the stigma of HIV,https://www.npr.org/2026/09/12/g-s1-142404/hiv-aids-brazil-stigma,,,,,,2026-09-12T17:37:14.881394+00:00
c4c522ff,en,[],,[],unclassified,FALSE,news,feeds.npr.org,center,"'BRICS' forum brings together emerging economies, aimed at countering western dominance",https://www.npr.org/2026/09/12/nx-s1-5965777/brics-forum-brings-together-emerging-economies-aimed-at-countering-western-dominance,,,,,,2026-09-12T17:37:14.881394+00:00
2526fb6d,en,[],,['USA'],unclassified,FALSE,news,feeds.npr.org,center,Saudi Arabia forced to shut down crucial Red Sea pipeline after attacks,https://www.npr.org/2026/09/12/nx-s1-5964940/saudi-arabia-forced-to-shut-down-crucial-red-sea-pipeline-after-attacks,,,,,,2026-09-12T17:37:14.881394+00:00
bd27ff02,en,[],,[],unclassified,FALSE,news,feeds.npr.org,center,The secret quest to preserve Palestinian writer Raja Shehadeh's diaries,https://www.npr.org/2026/09/12/g-s1-142760/palestinian-writer-archive-scotland-israel-shehadeh,,,,,,2026-09-12T17:37:14.881394+00:00
f244c3a5,en,[],,['USA'],unclassified,FALSE,news,feeds.npr.org,center,BRICS leaders meet in India as wars and US tensions test the bloc,https://www.npr.org/2026/09/12/g-s1-143054/brics-leaders-meet-in-india,,,,,,2026-09-12T17:37:14.881394+00:00
e9dfefd4,en,[],,[],unclassified,FALSE,news,feeds.npr.org,center,Yemen's Houthis capture a Red Sea island in threat to shipping,https://www.npr.org/2026/09/12/g-s1-143044/yemens-houthis-capture-red-sea-island,,,,,,2026-09-12T17:37:14.881394+00:00
07acae33,en,[],,[],unclassified,FALSE,news,feeds.npr.org,center,The other side of 9/11: Afghans reckon with America's long shadow,https://www.npr.org/2026/09/11/nx-s1-5949270/the-other-side-of-9-11-afghans-reckon-with-americas-long-shadow,,,,,,2026-09-12T17:37:14.881394+00:00
cb3543f1,en,[],,['USA'],unclassified,FALSE,news,feeds.npr.org,center,"Amid war and sanctions, many Iranians are losing their jobs and struggling to get by",https://www.npr.org/2026/09/11/g-s1-142935/iran-us-war-jobs-economy,,,,,,2026-09-12T17:37:14.881394+00:00
e7a1726b,en,['na-1'],북미,"['USA', 'Canada']",matched,FALSE,news,feeds.npr.org,center,The U.S.-Canada trade war is creating a headache for auto-parts makers,https://www.npr.org/2026/09/11/nx-s1-5961530/canada-trade-war-auto-parts-supply-chain,중립적,The trade war is threatening to unravel a complex system.,비판적,'threatening to unravel' 등 극적 표현이 평가적 프레이밍으로 판단됨 — 사건 자체보다 서술 방식이 비판적,2026-09-13T00:00:00+00:00,2026-09-12T17:37:14.881394+00:00
b63cf969,en,[],,[],unclassified,FALSE,news,feeds.npr.org,center,Why gains by Iran-backed Houthis in Yemen could push gas prices even higher,https://www.npr.org/2026/09/11/nx-s1-5966379/houthi-gains-gas-prices,,,,,,2026-09-12T17:37:54.000283+00:00
6495a190,en,[],,[],unclassified,FALSE,news,feeds.bbci.co.uk,center,A united Ireland would be 'fantastic' says Trump during Irish visit,https://www.bbc.co.uk/news/articles/cy0zvx15rywo?at_medium=RSS&at_campaign=rss,,,,,,2026-09-12T17:37:54.000804+00:00
7dac99c0,en,[],,[],unclassified,FALSE,news,feeds.bbci.co.uk,center,Teen boy rescued after days adrift in Alaskan waters,https://www.bbc.co.uk/news/articles/c7907l5nyddo?at_medium=RSS&at_campaign=rss,,,,,,2026-09-12T17:37:54.000804+00:00
e8ac79e1,en,[],,['USA'],unclassified,FALSE,news,feeds.bbci.co.uk,center,"Largest US outbreak of explosive diarrhoea parasite is over, officials say",https://www.bbc.co.uk/news/articles/c20957zdq95o?at_medium=RSS&at_campaign=rss,,,,,,2026-09-12T17:37:54.000804+00:00
475b358a,en,[],,[],unclassified,FALSE,news,feeds.bbci.co.uk,center,Arrest made over the death of black woman found hanged from tree in Mississippi,https://www.bbc.co.uk/news/articles/cqjkejq5750o?at_medium=RSS&at_campaign=rss,,,,,,2026-09-12T17:37:54.000804+00:00
dde4c319,en,[],,['USA'],unclassified,FALSE,news,feeds.bbci.co.uk,center,Grammy-winning US rapper Lil Durk acquitted in murder-for-hire trial,https://www.bbc.co.uk/news/articles/c1kx0jje18wo?at_medium=RSS&at_campaign=rss,,,,,,2026-09-12T17:37:54.000804+00:00
35b5040d,en,[],,[],unclassified,FALSE,news,feeds.bbci.co.uk,center,"'Never, ever forget' - America marks 25th anniversary of 9/11 attacks",https://www.bbc.co.uk/news/articles/clyjqvjzlwno?at_medium=RSS&at_campaign=rss,,,,,,2026-09-12T17:37:54.000804+00:00
