Institution,Title,Summary,Link,Scraped_At
ING_Think,"FX Daily: New central bank calls, unchanged EUR/USD view","We now expect both the ECB and the Fed to hike rates in December. Here, we discuss our new calls and why we're keeping our EUR/USD profile unchanged, still targeting 1.160 for year-end. We expect oil to dominate as an FX driver this week, with President Trump expected to meet Gulf state members and President Xi Jinping. USD/JPY risks remain on the upside",https://think.ing.com/articles/fx-daily-new-central-bank-calls-unchanged-eur-usd-view/,2026-09-21 16:07:54
ING_Think,"German state elections: Two states, two extremes","EUROPE: The AfD has won Mecklenburg-Vorpommern, the Left Party has won Berlin. Neither vote was a referendum on Friedrich Merz's reform agenda – but both make that agenda harder to deliver",https://think.ing.com/snaps/german-state-elections-two-states-two-extremes/,2026-09-21 16:07:54
ING_Think,"THINK Ahead: No, central banks aren’t about to cause a recession",EUROPE: Rate hikes are undoubtedly contentious right now. Some think it's an error. But a recession starter? James Smith explains why he just isn't that convinced,https://think.ing.com/opinions/think-ahead-no-central-banks-arent-about-to-cause-a-recession/,2026-09-21 16:07:54
ING_Think,Swiss National Bank preview: Still no reason to move,"SWITZERLAND: Swiss economic growth has recently surprised on the upside, but inflation remains too low to warrant a change in monetary policy. We expect the Swiss National Bank to keep its policy rate at 0% next Thursday and to remain on hold over the coming quarters",https://think.ing.com/articles/swiss-national-bank-preview-still-no-reason-to-move/,2026-09-21 16:07:54
ING_Think,"CEE & CCA week ahead: Labour markets, confidence data and interest rates in focus","CENTRAL AND EASTERN EUROPE: Next week, Poland will release labour market, construction and retail sales data, while the Czech Republic publishes confidence indicators and Azerbaijan announces its latest monetary policy decision",https://think.ing.com/articles/cee-cca-week-ahead-18-sep/,2026-09-21 16:07:54
Nomura_Research,Nomura Asset Management,웹 크롤링 데이터 (본문 확인 필요),https://www.nomura-asset.co.uk/,2026-09-21 16:08:07
Nomura_Research,Nomura Capital Management,웹 크롤링 데이터 (본문 확인 필요),https://nomuracapitalmanagement.com/,2026-09-21 16:08:07
Nomura_Research,"Instinet, A Nomura Company",웹 크롤링 데이터 (본문 확인 필요),https://www.instinet.com/,2026-09-21 16:08:07
Nomura_Research,"Laser Digital, Part of The Nomura Group",웹 크롤링 데이터 (본문 확인 필요),https://laserdigital.com/,2026-09-21 16:08:07
Nomura_Research,Nomura’s Global Research Portal Log-In,웹 크롤링 데이터 (본문 확인 필요),https://www.nomuranow.com/research/m/public/login?goto=%2F,2026-09-21 16:08:07
