Region,Channel_ID,Message_Content,Scraped_At
Russia_Rybar,rybar,"📝 Главное от Рыбаря 📝 дайджест материалов за 20 сентября Ночная попытка противника сорвать выборы не увенчалась успехом . Но реакция властей была, и на этот раз действительно в том ключе, в каком хотелось бы . ❗️ Подробнее об этих и других темах читайте в нашем дайджесте. ➡️ Рыбарь @rybar — говорим о сложном просто. Основной ресурс нашего аналитического центра. Самые важные и интересные материалы. ▪️ Хроника СВО ▪️ РЫБАРЬ ПОЯСНЯЕТ: Япония снимает пацифистские оковы ▪️ Михаил Тихонравов: путь к звёздам ▪️ Самый крупный налёт на Москву ▪️ Доверие растёт от честности ▪️ Налёт на Москву: детали операции ▪️ Авиация как зеркало суверенитета ▪️ Как испортить релиз одним акцентом ▪️ Россия — кузница кадров для Эфиопии ▪️ Стальные печи гаснут ➡️ АЗИАТАРЬ @rybar_Pacific Американцы и китайцы делят мир — амбиции обоих в сфере ИИ не перестают расти. При этом уже совсем скоро состоится встреча Си и Трампа. Австралийцы же увидели угрозу не только в Китае, но и в Индонезии. ➡️ АМЕРИКАРЬ @rybar_america Жилищный вопрос остаётся головной болью для американских властей, демократы прикидывают расклады на президентскую гонку, а Трамп объявил о планах создания сил ИИ. ➡️ АФРИКАРЬ @rybar_Africa США продлили на год логистическую поддержку миссии АС в Сомали, отсрочив крах власти. Тем временем китайцы провели свой африканский форум, сделав ставку на рынок вооружений от ЮАР до Буркина-Фасо. ➡️ БАЛКАНАРЬ @balkanar В Евросоюзе вновь тормозят принятие Черногории в организацию, а в т.н. Косово пройдут новые военные учения с участием армии США. ➡️ ЕВРОПАРЬ @evropar В Европе обсудили рост цен на топливо, инфляцию и слабый экономический рост. Национализация британских сталелитейных компаний идёт не по плану, в отличие от замещения коренного населения Франции. ➡️ КАВКАЗАРЬ @caucasar Рассказали про демографическую ситуацию в странах Закавказья: в Азербайджане она положительная, а вот армянам и грузинам стоит задуматься. ➡️ ЛАТИНАРЬ @rybar_latam США перераспределяют военную помощь в пользу Латинской Америки, экс-президент Чили выбыла из гонки за пост генсека ООН, а Аргентина ищет сближения с НАТО. ➡️ ОРИЕНТАРЬ @rybar_mena В США рассматривают возможность ударов по Йемену, а иранцы угрожают ответными мерами. Палестинцы призывают к атакам на израильтян. ➡️ ТУРАНАРЬ @rybar_stan Банки Киргизии создают свой санкционный список. А в Монголии австралийцы поделились с хозяевами доходами с медного рудника. ©️ Подписывайтесь на все каналы ©️ #дайджест #итоги ✈️ RU | ✈️ EN | ✉️ MAX 💸 Поддержать нас",2026-09-21 16:54:08
Russia_Rybar,rybar,"📝 Хроника специальной военной операции 📝 за 20 сентября 2026 года 🧨 Российские войска нанесли удары по логистической и военной инфраструктуре т.н. Украины. По заявлениям Минобороны, поражены склад компании «FIRE POINT» в Боярке с комплектующими и стартовыми ускорителями для БЛА большой дальности, логистический центр «Новая Почта» под Одессой , а также несколько сухогрузов в порту Одессы . Отдельно отработаны переправы: расчёты «Герани-4» поразили новый автомобильный мост в районе Маяков . Кроме того, удары наносились по складским комплексам в Киевской области и объектам агрохимикатов в Ровенской области . Украинские формирования предприняли попытку массированной атаки на Московский регион . За сутки над российскими регионами сбиты рекордные 1951 беспилотник и восемь крылатых ракет «Фламинго». Тем не менее под удар попал Московский НПЗ и рынок «Садовод». В Белгородской области без света остались Борисовский и Грайворонский районы , в Запорожской области разрушен избирательный участок в школе посёлка Пришиб , а в Херсонской в Софиевке погиб несовершеннолетний. ➡️ На Бурлукском направлении подразделения группировки «Север» сжимают «котел» к востоку от Волчанска , «нарезая» зону контроля ВСУ. Объявлено об освобождении еще двух населенных пунктов. По подконтрольной противнику территории идут удары авиации и артиллерии. ➡️ На Купянском направлении противник атакует в районе Западного , пытаясь рассечь плацдарм ВС РФ к западу от Оскола. Российские войска улучшают тактическое положение в Ковшаровке и Новоосиново . ➡️ На Славянском направлении подразделения ВС РФ работают по позициям противника в Славянске и Николаевке . В Рай-Александровке ВСУ проводят контратаки через опорный пункт к западу от руин села. ➡️ На Восточно-Запорожском направлении продолжаются бои малых групп к западу от Рождественского , противник не оставляет попыток замедлить наступление подразделений ВС РФ. В Минобороны заявили об освобождении Зеленой Дибровы . 📎 Карты в высоком разрешении: 🔸 Обстановка в зоне специальной военной операции ( ru ; en ) 🔸 Бурлукское направление ( ru ; en ) 🔸 Купянское направление ( ru ; en ) 🔸 Славянское направление ( ru ; en ) 🔸 Восточно-Запорожское направление ( ru ; en ) 📍 Онлайн-карты доступны по подписке на map.rybar.ru #дайджест #ДНР #карта #ЛНР #Москва #Одесса #Россия #Украина ✈️ RU | ✈️ EN | ✉️ MAX ✉️ VK | ✉️ RuTube | ✉️ ОК | ✉️ Дзен 💸 Поддержать нас",2026-09-21 16:54:08
Russia_Rybar,rybar,"▶ РЫБАРЬ ПОЯСНЯЕТ: Бусификация спасёт от добровольцев В новом выпуске «Рыбарь поясняет» разбираемся, что произошло с добровольцами и отрядами территориальной обороны на т.н. Украине, как бусификация отразилась на отношении народа к ВСУ и что будет с добровольческим движением дальше. Приятного просмотра! #пояснение #эфиры ✈ RU | ✈ EN | ✉ MAX ✉ VK | ✉ RuTube | ✉ ОК | ✉ Дзен 💸 Поддержать нас",2026-09-21 16:54:08
Russia_Rybar,rybar,"▶️ Русское Вечное: Никита Демидов Три столетия русской тяжёлой промышленности Импортозамещение, ГЧП, передача неэффективных государственных активов в управление частникам — кажется, это реалии последних лет. Но это глубокое заблуждение. Всё это придумал царь-реформатор Пётр Первый, а воплотил — русский промышленник Никита Демидов . Современную мощь Урала заложил именно он, понятие инфраструктуры — всего того, что необходимо для нормальной и эффективной работы предприятия — тоже от него. Демидов понимал: мало построить самый современный цех. Необходимо добыть и обработать сырьё, быстро и качественно доставить его к месту производства, а оттуда — уже готовый товар — заказчику. Демидовское железо — это грозное оружие, быт и красота. От пушек, гремевших на весь мир, до фонтанов Петергофа. ❗️ Рыбарь продолжает публиковать работы из нового цикла «Русское Вечное». Это наш взгляд на непрерывную историю тысячелетней страны , наше видение преемственности поколений и вклада русских людей в мировую науку и культуру. Иконописцы и оружейники, учёные и купцы, путешественники и артисты, священники и воины, политики и поэты — все эти люди заложили фундамент современной России. Это не сказка, не интернет-энциклопедия в картинках и не «мультики про историю». Это русское. Это вечное. 📎 Предыдущие выпуски: 🔸 Василий Татищев 🔸 Андрей Рублев 🔸 Андрей Чохов 🔸 Николай Лобачевский 🔸 Афанасий Никитин 🔸 Константин Мельников 🔸 Михаил Тихонравов #видео #Россия #русскоевечное ✈️ RU | ✈️ EN | ✉️ MAX ✉️ VK | ✉️ RuTube | ✉️ ОК | ✉️ Дзен 💸 Поддержать нас",2026-09-21 16:54:08
Russia_Rybar,rybar,"📝 ИИ-войска на страже прогресса 📝 На фоне поднявшейся в США волны общественного обсуждения опасности бесконтрольного развития передовых нейросетей Дональд Трамп объявил о планах создания сил искусственного интеллекта (AI Force) по аналогии с космическими силами и возвращения должности специального куратора отрасли. В своём посте в Truth Social президент вновь отверг любые попытки затормозить развитие индустрии , которая, по его словам, может в будущем генерировать до 25% от ВВП страны, а все предупреждения об угрозе ИИ он назвал очередной мистификацией демократов. При этом специфику новой структуры Трамп раскрывать не стал, пообещав развивать индустрию без новых барьеров, а любые злоупотребления отслеживать точечно через существующую судебную систему. ➡️ Заявление Трампа прозвучало после того, как лидеры самой отрасли – Сэм Альтман из OpenAI, Дарио Амодеи из Anthropic и Илон Маск – синхронно призвали замедлить разработку сверхразума из соображений безопасности. Впрочем, за их призывом сразу же последовал антимонопольный иск от пользователей, обвинивших компании в картельном сговоре с целью сдерживания инноваций. ➡️ Тем временем опросы общественного мнения фиксируют рекордный уровень тревоги населения из-за строительства дата-центров и неконтролируемого влияния ИИ. Демократы уже пытаются оседлать это недовольство. Например, Берни Сандерс продвигает полный запрет сверхразума, а Александрия Окасио - Кортес призывает к введению строгих стандартов безопасности и предостерегает власти от спасения технологических гигантов за счёт налогоплательщиков, если «ИИ-пузырь» лопнет. ❗️ Инициатива Трампа напоминает попытку перехватить повестку. Вместо системных регуляторных рамок и превентивного аудита, которых требуют исследователи и оппоненты, Белый дом предлагает чисто силовую, правоохранительную модель надзора, оставляя бизнесу карт-бланш на продолжение технологической гонки. #ИИ #США 🇺🇸 @rybar_america — сделаем Америку снова понятной 💸 Поддержать нас",2026-09-21 16:54:08
Ukraine_Live,UaOnlii,🔥 Спеціальна ціна дня на Rozetka! Набір сковорідок зі знімною ручкою Tefal Ingenio Emotion 💸 1999₴  замість 5999₴ 🔻 Знижка 67% ✨ Різні способи приготування з набором Tefal ⏰ Тільки сьогодні — 21.09 👉 Встигніть придбати за вигідною ціною,2026-09-21 16:54:09
Ukraine_Live,UaOnlii,"❗️ Жовтий рівень небезпеки: загроза БПЛА у Києві та областях, де оголошено тривогу Україна Online | Підписатись",2026-09-21 16:54:09
Ukraine_Live,UaOnlii,"❗️ Росія дає багато сигналів про готовність розширити війну, — Зеленський Україна Online | Підписатись",2026-09-21 16:54:09
Ukraine_Live,UaOnlii,"❗️ Понад 50 потягів затрималися по всій Україні до 17 годин через російські атаки, — УЗ Україна Online | Підписатись",2026-09-21 16:54:09
Ukraine_Live,UaOnlii,"Викрито шахрайство з криптоактивами на понад 655 тисяч доларів: проведено обшуки в Чехії, — Нацпол Упродовж 2023–2025 років фігурант переконував потерпілого інвестувати кошти у криптоактиви для отримання пасивного доходу. Гроші конвертували у криптовалюту та переказували на підконтрольні зловмиснику гаманці. Загальна сума збитків перевищила 655 тисяч доларів США. У межах міжнародного співробітництва правоохоронці Чехії встановили місце проживання фігуранта у Празі. Відкрито кримінальне провадження. Україна Online | Підписатись",2026-09-21 16:54:09
